GEOID,SVI,year,State
28,0.8823529411764706,2015,Mississippi
29,0.4901960784313726,2015,Missouri
30,0.21568627450980393,2015,Montana
31,0.27450980392156865,2015,Nebraska
32,0.9019607843137255,2015,Nevada
33,0,2015,New Hampshire
34,0.4901960784313726,2015,New Jersey
35,0.9803921568627451,2015,New Mexico
36,0.6274509803921569,2015,New York
37,0.7843137254901961,2015,North Carolina
38,0.019607843137254943,2015,North Dakota
39,0.4117647058823529,2015,Ohio
40,0.7843137254901961,2015,Oklahoma
41,0.7450980392156863,2015,Oregon
42,0.33333333333333337,2015,Pennsylvania
44,0.43137254901960786,2015,Rhode Island
45,0.7450980392156863,2015,South Carolina
46,0.37254901960784315,2015,South Dakota
47,0.6470588235294117,2015,Tennessee
48,0.9215686274509804,2015,Texas
50,0.039215686274509776,2015,Vermont
49,0.5098039215686274,2015,Utah
51,0.196078431372549,2015,Virginia
53,0.4509803921568627,2015,Washington
54,0.5294117647058824,2015,West Virginia
55,0.1568627450980392,2015,Wisconsin
56,0.05882352941176472,2015,Wyoming
72,1,2015,Puerto Rico
01,0.7058823529411764,2015,Alabama
02,0.3137254901960784,2015,Alaska
04,0.9607843137254902,2015,Arizona
05,0.8627450980392157,2015,Arkansas
06,0.8431372549019608,2015,California
08,0.3137254901960784,2015,Colorado
10,0.2549019607843137,2015,Delaware
11,0.5686274509803921,2015,District of Columbia
09,0.17647058823529416,2015,Connecticut
12,0.9411764705882353,2015,Florida
13,0.8235294117647058,2015,Georgia
16,0.6862745098039216,2015,Idaho
15,0.3529411764705882,2015,Hawaii
17,0.5490196078431373,2015,Illinois
18,0.607843137254902,2015,Indiana
19,0.0980392156862745,2015,Iowa
20,0.3921568627450981,2015,Kansas
21,0.6666666666666667,2015,Kentucky
22,0.803921568627451,2015,Louisiana
23,0.13725490196078427,2015,Maine
24,0.11764705882352944,2015,Maryland
25,0.23529411764705888,2015,Massachusetts
26,0.5882352941176471,2015,Michigan
27,0.07843137254901966,2015,Minnesota
28,0.8823529411764706,2016,Mississippi
29,0.4901960784313726,2016,Missouri
30,0.196078431372549,2016,Montana
31,0.27450980392156865,2016,Nebraska
32,0.9019607843137255,2016,Nevada
33,0,2016,New Hampshire
34,0.47058823529411764,2016,New Jersey
35,0.9803921568627451,2016,New Mexico
36,0.6274509803921569,2016,New York
37,0.7647058823529411,2016,North Carolina
38,0.019607843137254943,2016,North Dakota
39,0.43137254901960786,2016,Ohio
40,0.7843137254901961,2016,Oklahoma
41,0.7058823529411764,2016,Oregon
42,0.3137254901960784,2016,Pennsylvania
44,0.5098039215686274,2016,Rhode Island
45,0.7450980392156863,2016,South Carolina
46,0.37254901960784315,2016,South Dakota
47,0.6470588235294117,2016,Tennessee
48,0.9411764705882353,2016,Texas
50,0.039215686274509776,2016,Vermont
49,0.4509803921568627,2016,Utah
51,0.17647058823529416,2016,Virginia
53,0.4117647058823529,2016,Washington
54,0.607843137254902,2016,West Virginia
55,0.13725490196078427,2016,Wisconsin
56,0.07843137254901966,2016,Wyoming
